cellI,x,y,z,S,epsilon,k,nut
60936,1.345238095,0.09,0.0007,1.960784e-06,7.496183331,0.06331452488,4.475140321e-06
60937,1.346638656,0.09,0.0007,1.9607854e-06,7.495841145,0.06331285579,4.475069281e-06
60938,1.348039216,0.09,0.0007,1.960784e-06,7.495500208,0.06331119276,4.474998499e-06
60939,1.349439776,0.09,0.0007,1.960784e-06,7.495160532,0.06330953586,4.474927976e-06
60940,1.350840336,0.09,0.0007,1.960784e-06,7.494822131,0.06330788514,4.474857715e-06
60941,1.352240896,0.09,0.0007,1.960784e-06,7.494485015,0.06330624065,4.474787719e-06
60942,1.353641456,0.09,0.0007,1.9607854e-06,7.494149197,0.06330460247,4.47471799e-06
60943,1.355042017,0.09,0.0007,1.960784e-06,7.493814687,0.06330297063,4.474648531e-06
60944,1.356442577,0.09,0.0007,1.960784e-06,7.493481496,0.0633013452,4.474579343e-06
60945,1.357843137,0.09,0.0007,1.960784e-06,7.493149633,0.06329972621,4.47451043e-06
60946,1.359243697,0.09,0.0007,1.9607854e-06,7.492819109,0.06329811373,4.474441791e-06
60947,1.360644258,0.09,0.0007,1.960784e-06,7.492489932,0.06329650778,4.474373431e-06
60948,1.362044818,0.09,0.0007,1.960784e-06,7.492162109,0.06329490841,4.47430535e-06
60949,1.363445378,0.09,0.0007,1.960784e-06,7.491835647,0.06329331566,4.474237549e-06
60950,1.364845938,0.09,0.0007,1.960784e-06,7.491510553,0.06329172954,4.474170031e-06
60951,1.366246499,0.09,0.0007,1.9607854e-06,7.491186833,0.06329015009,4.474102796e-06
60952,1.367647059,0.09,0.0007,1.960784e-06,7.490864491,0.06328857735,4.474035845e-06
60953,1.369047619,0.09,0.0007,1.960784e-06,7.490543534,0.06328701133,4.47396918e-06
60954,1.370448179,0.09,0.0007,1.960784e-06,7.490223964,0.06328545205,4.473902801e-06
60955,1.371848739,0.09,0.0007,1.9607854e-06,7.489905787,0.06328389954,4.473836709e-06
60956,1.3732493,0.09,0.0007,1.960784e-06,7.489589007,0.06328235381,4.473770906e-06
60957,1.37464986,0.09,0.0007,1.960784e-06,7.489273626,0.06328081488,4.473705391e-06
60958,1.37605042,0.09,0.0007,1.960784e-06,7.488959648,0.06327928278,4.473640166e-06
60959,1.37745098,0.09,0.0007,1.9607854e-06,7.488647076,0.0632777575,4.473575231e-06
60960,1.378851541,0.09,0.0007,1.960784e-06,7.488335912,0.06327623907,4.473510587e-06
60961,1.380252101,0.09,0.0007,1.960784e-06,7.488026158,0.06327472749,4.473446233e-06
60962,1.381652661,0.09,0.0007,1.960784e-06,7.487717814,0.06327322276,4.473382171e-06
60963,1.383053221,0.09,0.0007,1.960784e-06,7.48741088,0.06327172489,4.4733184e-06
60964,1.384453782,0.09,0.0007,1.9607854e-06,7.487105355,0.06327023386,4.47325492e-06
60965,1.385854342,0.09,0.0007,1.960784e-06,7.486801237,0.06326874968,4.47319173e-06
60966,1.387254902,0.09,0.0007,1.960784e-06,7.486498525,0.06326727233,4.473128831e-06
60967,1.388655462,0.09,0.0007,1.960784e-06,7.486197217,0.06326580182,4.473066222e-06
60968,1.390056022,0.09,0.0007,1.9607854e-06,7.485897311,0.06326433811,4.473003903e-06
60969,1.391456583,0.09,0.0007,1.960784e-06,7.485598805,0.06326288121,4.472941873e-06
60970,1.392857143,0.09,0.0007,1.960784e-06,7.485301695,0.06326143111,4.472880131e-06
60971,1.394257703,0.09,0.0007,1.960784e-06,7.485005981,0.06325998778,4.472818678e-06
60972,1.395658263,0.09,0.0007,1.960784e-06,7.484711657,0.06325855122,4.472757512e-06
60973,1.397058824,0.09,0.0007,1.9607854e-06,7.484418721,0.06325712142,4.472696633e-06
60974,1.398459384,0.09,0.0007,1.960784e-06,7.48412717,0.06325569834,4.47263604e-06
60975,1.399859944,0.09,0.0007,1.960784e-06,7.483836997,0.06325428197,4.472575732e-06
60976,1.401260504,0.09,0.0007,1.960784e-06,7.483548199,0.06325287228,4.472515708e-06
60977,1.402661064,0.09,0.0007,1.9607854e-06,7.48326077,0.06325146926,4.472455967e-06
60978,1.404061625,0.09,0.0007,1.960784e-06,7.482974704,0.06325007286,4.472396508e-06
60979,1.405462185,0.09,0.0007,1.960784e-06,7.482689995,0.06324868307,4.472337329e-06
60980,1.406862745,0.09,0.0007,1.960784e-06,7.482406635,0.06324729983,4.472278429e-06
60981,1.408263305,0.09,0.0007,1.960784e-06,7.482124619,0.06324592314,4.472219807e-06
60982,1.409663865,0.09,0.0007,1.9607854e-06,7.481843939,0.06324455294,4.472161461e-06
60983,1.411064426,0.09,0.0007,1.960784e-06,7.481564588,0.06324318921,4.47210339e-06
60984,1.412464986,0.09,0.0007,1.960784e-06,7.481286559,0.06324183191,4.472045593e-06
60985,1.413865546,0.09,0.0007,1.960784e-06,7.481009845,0.06324048101,4.471988067e-06
60986,1.415266107,0.09,0.0007,1.9607854e-06,7.480734438,0.06323913647,4.471930812e-06
60987,1.416666667,0.09,0.0007,1.960784e-06,7.480460332,0.06323779826,4.471873826e-06
60988,1.418067227,0.09,0.0007,1.960784e-06,7.480187517,0.06323646633,4.471817107e-06
60989,1.419467787,0.09,0.0007,1.960784e-06,7.479915987,0.06323514066,4.471760654e-06
60990,1.420868347,0.09,0.0007,1.960784e-06,7.479645733,0.06323382119,4.471704464e-06
60991,1.422268908,0.09,0.0007,1.9607854e-06,7.479376745,0.06323250788,4.471648537e-06
60992,1.423669468,0.09,0.0007,1.960784e-06,7.479109016,0.0632312007,4.47159287e-06
60993,1.425070028,0.09,0.0007,1.960784e-06,7.478842535,0.06322989959,4.471537461e-06
60994,1.426470588,0.09,0.0007,1.960784e-06,7.478577292,0.06322860451,4.471482309e-06
60995,1.427871148,0.09,0.0007,1.9607854e-06,7.478313278,0.0632273154,4.471427411e-06
60996,1.429271709,0.09,0.0007,1.960784e-06,7.47805048,0.06322603222,4.471372764e-06
60997,1.430672269,0.09,0.0007,1.960784e-06,7.477788889,0.06322475491,4.471318367e-06
60998,1.432072829,0.09,0.0007,1.960784e-06,7.477528491,0.0632234834,4.471264217e-06
60999,1.433473389,0.09,0.0007,1.960784e-06,7.477269276,0.06322221765,4.471210312e-06
61000,1.43487395,0.09,0.0007,1.9607854e-06,7.47701123,0.0632209576,4.471156648e-06
61001,1.43627451,0.09,0.0007,1.960784e-06,7.476754342,0.06321970317,4.471103225e-06
61002,1.43767507,0.09,0.0007,1.960784e-06,7.476498597,0.06321845431,4.471050038e-06
