cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
36175,36575,(0.3775 -0.0475 0.0025),(0.02350278553 -0.9997237714 0),(0.0235261378 -0.9997232221 0),0,0.65442262,0.002953537383,0.00160482229,2,3((0.3774622822 -0.04589562101 0.0025) (0.3776175139 -0.05249861886 0.0025) (0.3777350928 -0.05749999847 0.0025)),2(35775 35375)
36176,36576,(0.3825 -0.0475 0.0025),(0.02469311258 -0.9996950786 0),(0.02471683228 -0.9996944924 0),0,0.64347895,0.003013835493,0.001484082422,2,3((0.3824633534 -0.04601637011 0.0025) (0.3826234656 -0.05249847539 0.0025) (0.3827470064 -0.05749999814 0.0025)),2(35776 35376)
36177,36577,(0.3875 -0.0475 0.0025),(0.02585889918 -0.9996656028 0),(0.02588279494 -0.9996649843 0),0,0.63184348,0.003077049277,0.001357507313,2,3((0.3874648964 -0.04614294663 0.0025) (0.3876292945 -0.05249832801 0.0025) (0.3877586754 -0.05749999776 0.0025)),2(35777 35377)
36178,36578,(0.3925 -0.0475 0.0025),(0.02700080832 -0.9996354117 0),(0.02702467404 -0.9996347668 0),0,0.61951278,0.003143139361,0.001225176058,2,3((0.3924669193 -0.04627527063 0.0025) (0.392635004 -0.05249817706 0.0025) (0.3927701065 -0.05749999734 0.0025)),2(35778 35378)
36179,36579,(0.3975 -0.0475 0.0025),(0.02812061046 -0.9996045374 0),(0.02814308083 -0.9996039051 0),0,0.60649444,0.00321202711,0.001087246251,2,3((0.397469426 -0.04641318371 0.0025) (0.3976406031 -0.05249802269 0.0025) (0.3977813173 -0.05749999687 0.0025)),2(35779 35379)
36180,36580,(0.4025 -0.0475 0.0025),(0.02921647026 -0.9995731078 0),(0.02923857755 -0.9995724614 0),0,0.59278267,0.003283727236,0.0009436887807,2,3((0.4024724287 -0.04655671407 0.0025) (0.4026460824 -0.05249786554 0.0025) (0.4027922894 -0.05749999636 0.0025)),2(35780 35380)
36181,36581,(0.4075 -0.0475 0.0025),(0.03029035244 -0.999541142 0),(0.0303116482 -0.9995404964 0),0,0.57840741,0.003358092911,0.0007947976058,2,3((0.4074759253 -0.04670556709 0.0025) (0.4076514518 -0.05249770571 0.0025) (0.4078030425 -0.05749999579 0.0025)),2(35781 35381)
36182,36582,(0.4125 -0.0475 0.0025),(0.03134286288 -0.9995086918 0),(0.03136260856 -0.9995080724 0),0,0.56337327,0.003435138557,0.0006405441938,2,3((0.4124799235 -0.04685977051 0.0025) (0.4126567143 -0.05249754346 0.0025) (0.4128135825 -0.05749999518 0.0025)),2(35782 35382)
36183,36583,(0.4175 -0.0475 0.0025),(0.03237459268 -0.9994758055 0),(0.03239133726 -0.999475263 0),0,0.54770897,0.003514784742,0.0004810877773,2,3((0.417484425 -0.04701916441 0.0025) (0.417661873 -0.05249737903 0.0025) (0.4178239155 -0.05749999451 0.0025)),2(35783 35383)
36184,36584,(0.4225 -0.0475 0.0025),(0.03338611992 -0.9994425281 0),(0.03339586686 -0.9994422025 0),0,0.5314451,0.003596976356,0.0003165392467,2,3((0.422489432 -0.04718363722 0.0025) (0.4226669306 -0.05249721264 0.0025) (0.4228340472 -0.05749999379 0.0025)),2(35784 35384)
36185,36585,(0.4275 -0.0475 0.0025),(0.03437800795 -0.9994089016 0),(0.03435953588 -0.9994095368 0),0,0.51461427,0.003681683852,0.0001469609248,2,3((0.4274949478 -0.04735312594 0.0025) (0.42767189 -0.05249704451 0.0025) (0.4278439832 -0.05749999302 0.0025)),2(35785 35385)
36186,36585,(0.4325 -0.0475 0.0025),(0.03535080923 -0.9993749648 0),(0.03435953588 -0.9994095368 0),0,0.51461427,0.003767582692,0.0001469609248,2,3((0.4324948048 -0.04735313093 0.0025) (0.432676754 -0.05249687482 0.0025) (0.4328537289 -0.05749999219 0.0025)),2(35786 35386)
36523,36924,(0.1175 -0.0425 0.0025),(-0.1064046124 -0.9943229146 0),(-0.1018058399 -0.9948042878 0),0,0.53285657,0.003832771866,0.0003307878527,2,3((0.1175351974 -0.04217109006 0.0025) (0.1169679769 -0.04747161457 0.0025) (0.1164299471 -0.05249936083 0.0025)),2(36123 35723)
36524,36924,(0.1225 -0.0425 0.0025),(-0.1012667853 -0.9948593057 0),(-0.1018058399 -0.9948042878 0),0,0.53285657,0.003578257266,0.0003307878527,2,3((0.1225334978 -0.04217091263 0.0025) (0.1219936661 -0.04747429653 0.0025) (0.1214821528 -0.05249947549 0.0025)),2(36124 35724)
36525,36925,(0.1275 -0.0425 0.0025),(-0.09635625121 -0.9953469108 0),(-0.09683523661 -0.9953004255 0),0,0.58153675,0.003331349886,0.0008270833016,2,3((0.1275796946 -0.04167676519 0.0025) (0.1270182187 -0.04747673455 0.0025) (0.1265319746 -0.05249956997 0.0025)),2(36125 35725)
36526,36926,(0.1325 -0.0425 0.0025),(-0.09165536107 -0.9957907887 0),(-0.09208943786 -0.9957507396 0),0,0.62644509,0.003096339078,0.001299356488,2,3((0.132619093 -0.04120611278 0.0025) (0.1320417232 -0.04747895394 0.0025) (0.1315796045 -0.05249964787 0.0025)),2(36126 35726)
36527,36927,(0.1375 -0.0425 0.0025),(-0.08714843566 -0.9961953374 0),(-0.08754361522 -0.9961606876 0),0,0.66722142,0.002872867019,0.001748350346,2,3((0.137652366 -0.04075830154 0.0025) (0.1370642578 -0.04748097669 0.0025) (0.1366252125 -0.05249971213 0.0025)),2(36127 35727)
36528,36928,(0.1425 -0.0425 0.0025),(-0.08282149796 -0.9965643981 0),(-0.08318213299 -0.996534361 0),0,0.70378472,0.00266049727,0.002174958211,2,3((0.1426801333 -0.04033251408 0.0025) (0.1420858925 -0.04748282199 0.0025) (0.1416689493 -0.05249976514 0.0025)),2(36128 35728)
36529,36929,(0.1475 -0.0425 0.0025),(-0.07866203157 -0.9969013416 0),(-0.07899172006 -0.9968752721 0),0.27762935,0.73628126,0.002458304712,0.002403328478,2,3((0.1476890507 -0.04010411862 0.0025) (0.1471066898 -0.04748450671 0.0025) (0.1467109497 -0.05249980885 0.0025)),2(36129 35729)
