cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
5507,(0.08904118404 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.08904118404 0.01 0.00065) (0.08904118404 0.01155827869 0.00065) (0.08904118404 0.01285483606 0.00065)),2(6284 7061)
5508,(0.09034105534 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09034105534 0.01 0.00065) (0.09034105534 0.01155827869 0.00065) (0.09034105534 0.01285483607 0.00065)),2(6285 7062)
5509,(0.09164092664 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09164092664 0.01 0.00065) (0.09164092664 0.01155827869 0.00065) (0.09164092664 0.01285483607 0.00065)),2(6286 7063)
5510,(0.09294079794 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09294079794 0.01 0.00065) (0.09294079794 0.01155827869 0.00065) (0.09294079794 0.01285483606 0.00065)),2(6287 7064)
5511,(0.09424066924 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09424066924 0.01 0.00065) (0.09424066924 0.01155827869 0.00065) (0.09424066924 0.01285483606 0.00065)),2(6288 7065)
5512,(0.09554054054 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09554054054 0.01 0.00065) (0.09554054054 0.01155827869 0.00065) (0.09554054054 0.01285483606 0.00065)),2(6289 7066)
5513,(0.09684041184 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09684041184 0.01 0.00065) (0.09684041184 0.01155827869 0.00065) (0.09684041184 0.01285483607 0.00065)),2(6290 7067)
5514,(0.09814028314 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.09814028314 0.01 0.00065) (0.09814028314 0.01155827869 0.00065) (0.09814028314 0.01285483607 0.00065)),2(6291 7068)
5515,(0.09944015444 0.010228125 0.00065),(0 1 0),0.4150482979,0.0002281250001,2,3((0.09944015444 0.01 0.00065) (0.09944015444 0.01155827869 0.00065) (0.09944015444 0.01285483607 0.00065)),2(6292 7069)
5516,(0.1007400257 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1007400257 0.01 0.00065) (0.1007400257 0.01155827869 0.00065) (0.1007400257 0.01285483606 0.00065)),2(6293 7070)
5517,(0.1020398971 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1020398971 0.01 0.00065) (0.1020398971 0.01155827869 0.00065) (0.1020398971 0.01285483607 0.00065)),2(6294 7071)
5518,(0.1033397683 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1033397683 0.01 0.00065) (0.1033397683 0.01155827869 0.00065) (0.1033397683 0.01285483606 0.00065)),2(6295 7072)
5519,(0.1046396396 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1046396396 0.01 0.00065) (0.1046396396 0.01155827869 0.00065) (0.1046396396 0.01285483607 0.00065)),2(6296 7073)
5520,(0.1059395109 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1059395109 0.01 0.00065) (0.1059395109 0.01155827869 0.00065) (0.1059395109 0.01285483606 0.00065)),2(6297 7074)
5521,(0.1072393823 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1072393823 0.01 0.00065) (0.1072393823 0.01155827869 0.00065) (0.1072393823 0.01285483606 0.00065)),2(6298 7075)
5522,(0.1085392535 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1085392535 0.01 0.00065) (0.1085392535 0.01155827869 0.00065) (0.1085392535 0.01285483607 0.00065)),2(6299 7076)
5523,(0.1098391248 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1098391248 0.01 0.00065) (0.1098391248 0.01155827869 0.00065) (0.1098391248 0.01285483606 0.00065)),2(6300 7077)
5524,(0.1111389961 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1111389961 0.01 0.00065) (0.1111389961 0.01155827869 0.00065) (0.1111389961 0.01285483606 0.00065)),2(6301 7078)
5525,(0.1124388675 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1124388675 0.01 0.00065) (0.1124388675 0.01155827869 0.00065) (0.1124388675 0.01285483606 0.00065)),2(6302 7079)
5526,(0.1137387387 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.1137387387 0.01 0.00065) (0.1137387387 0.01155827869 0.00065) (0.1137387387 0.01285483606 0.00065)),2(6303 7080)
5527,(0.11503861 0.010228125 0.00065),(0 1 0),0.4150482977,0.0002281250001,2,3((0.11503861 0.01 0.00065) (0.11503861 0.01155827869 0.00065) (0.11503861 0.01285483606 0.00065)),2(6304 7081)
