cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
5470,4693,(0.04094594595 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04094594595 0.01 0.00065) (0.04094594595 0.01155827869 0.00065) (0.04094594595 0.01285483607 0.00065)),2(6247 7024)
5471,4694,(0.04224581725 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04224581725 0.01 0.00065) (0.04224581725 0.01155827869 0.00065) (0.04224581725 0.01285483606 0.00065)),2(6248 7025)
5472,4695,(0.04354568855 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04354568855 0.01 0.00065) (0.04354568855 0.01155827869 0.00065) (0.04354568855 0.01285483607 0.00065)),2(6249 7026)
5473,4696,(0.04484555985 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04484555985 0.01 0.00065) (0.04484555985 0.01155827869 0.00065) (0.04484555985 0.01285483607 0.00065)),2(6250 7027)
5474,4697,(0.04614543115 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04614543115 0.01 0.00065) (0.04614543115 0.01155827869 0.00065) (0.04614543115 0.01285483606 0.00065)),2(6251 7028)
5475,4698,(0.04744530245 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04744530245 0.01 0.00065) (0.04744530245 0.01155827869 0.00065) (0.04744530245 0.01285483606 0.00065)),2(6252 7029)
5476,4699,(0.04874517375 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.04874517375 0.01 0.00065) (0.04874517375 0.01155827869 0.00065) (0.04874517375 0.01285483606 0.00065)),2(6253 7030)
5477,4700,(0.05004504505 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482975,1,0.0004464759888,0.0002281250001,2,3((0.05004504505 0.01 0.00065) (0.05004504505 0.01155827869 0.00065) (0.05004504505 0.01285483606 0.00065)),2(6254 7031)
5478,4701,(0.05134491634 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05134491634 0.01 0.00065) (0.05134491634 0.01155827869 0.00065) (0.05134491634 0.01285483607 0.00065)),2(6255 7032)
5479,4702,(0.05264478764 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05264478764 0.01 0.00065) (0.05264478764 0.01155827869 0.00065) (0.05264478764 0.01285483606 0.00065)),2(6256 7033)
5480,4703,(0.05394465894 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05394465894 0.01 0.00065) (0.05394465894 0.01155827869 0.00065) (0.05394465894 0.01285483606 0.00065)),2(6257 7034)
5481,4704,(0.05524453024 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05524453024 0.01 0.00065) (0.05524453024 0.01155827869 0.00065) (0.05524453024 0.01285483606 0.00065)),2(6258 7035)
5482,4705,(0.05654440154 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05654440154 0.01 0.00065) (0.05654440154 0.01155827869 0.00065) (0.05654440154 0.01285483607 0.00065)),2(6259 7036)
5483,4706,(0.05784427284 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05784427284 0.01 0.00065) (0.05784427284 0.01155827869 0.00065) (0.05784427284 0.01285483606 0.00065)),2(6260 7037)
5484,4707,(0.05914414414 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.05914414414 0.01 0.00065) (0.05914414414 0.01155827869 0.00065) (0.05914414414 0.01285483606 0.00065)),2(6261 7038)
5485,4708,(0.06044401544 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.06044401544 0.01 0.00065) (0.06044401544 0.01155827869 0.00065) (0.06044401544 0.01285483607 0.00065)),2(6262 7039)
