cellI,cellCenter,surfNorm,body,sigma,order,intPoints,intCells
7048,(0.07214285714 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07214285714 0.01015325682 0.00065) (0.07214285714 0.01155827869 0.00065) (0.07214285714 0.01285483606 0.00065)),2(7825 8602)
7049,(0.07344272844 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07344272844 0.01015325682 0.00065) (0.07344272844 0.01155827869 0.00065) (0.07344272844 0.01285483606 0.00065)),2(7826 8603)
7050,(0.07474259974 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07474259974 0.01015325682 0.00065) (0.07474259974 0.01155827869 0.00065) (0.07474259974 0.01285483606 0.00065)),2(7827 8604)
7051,(0.07604247104 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07604247104 0.01015325682 0.00065) (0.07604247104 0.01155827869 0.00065) (0.07604247104 0.01285483606 0.00065)),2(7828 8605)
7052,(0.07734234234 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07734234234 0.01015325682 0.00065) (0.07734234234 0.01155827869 0.00065) (0.07734234234 0.01285483607 0.00065)),2(7829 8606)
7053,(0.07864221364 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07864221364 0.01015325682 0.00065) (0.07864221364 0.01155827869 0.00065) (0.07864221364 0.01285483606 0.00065)),2(7830 8607)
7054,(0.07994208494 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.07994208494 0.01015325682 0.00065) (0.07994208494 0.01155827869 0.00065) (0.07994208494 0.01285483606 0.00065)),2(7831 8608)
7055,(0.08124195624 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08124195624 0.01015325682 0.00065) (0.08124195624 0.01155827869 0.00065) (0.08124195624 0.01285483606 0.00065)),2(7832 8609)
7056,(0.08254182754 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08254182754 0.01015325682 0.00065) (0.08254182754 0.01155827869 0.00065) (0.08254182754 0.01285483606 0.00065)),2(7833 8610)
7057,(0.08384169884 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08384169884 0.01015325682 0.00065) (0.08384169884 0.01155827869 0.00065) (0.08384169884 0.01285483606 0.00065)),2(7834 8611)
7058,(0.08514157014 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08514157014 0.01015325682 0.00065) (0.08514157014 0.01155827869 0.00065) (0.08514157014 0.01285483606 0.00065)),2(7835 8612)
7059,(0.08644144144 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08644144144 0.01015325682 0.00065) (0.08644144144 0.01155827869 0.00065) (0.08644144144 0.01285483606 0.00065)),2(7836 8613)
7060,(0.08774131274 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08774131274 0.01015325682 0.00065) (0.08774131274 0.01155827869 0.00065) (0.08774131274 0.01285483606 0.00065)),2(7837 8614)
7061,(0.08904118404 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.08904118404 0.01015325682 0.00065) (0.08904118404 0.01155827869 0.00065) (0.08904118404 0.01285483606 0.00065)),2(7838 8615)
7062,(0.09034105534 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09034105534 0.01015325682 0.00065) (0.09034105534 0.01155827869 0.00065) (0.09034105534 0.01285483607 0.00065)),2(7839 8616)
7063,(0.09164092664 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09164092664 0.01015325682 0.00065) (0.09164092664 0.01155827869 0.00065) (0.09164092664 0.01285483607 0.00065)),2(7840 8617)
7064,(0.09294079794 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09294079794 0.01015325682 0.00065) (0.09294079794 0.01155827869 0.00065) (0.09294079794 0.01285483606 0.00065)),2(7841 8618)
7065,(0.09424066924 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09424066924 0.01015325682 0.00065) (0.09424066924 0.01155827869 0.00065) (0.09424066924 0.01285483606 0.00065)),2(7842 8619)
7066,(0.09554054054 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09554054054 0.01015325682 0.00065) (0.09554054054 0.01155827869 0.00065) (0.09554054054 0.01285483606 0.00065)),2(7843 8620)
7067,(0.09684041184 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09684041184 0.01015325682 0.00065) (0.09684041184 0.01155827869 0.00065) (0.09684041184 0.01285483607 0.00065)),2(7844 8621)
7068,(0.09814028314 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.09814028314 0.01015325682 0.00065) (0.09814028314 0.01155827869 0.00065) (0.09814028314 0.01285483607 0.00065)),2(7845 8622)
7069,(0.09944015444 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078753e-06,2,3((0.09944015444 0.01015325682 0.00065) (0.09944015444 0.01155827869 0.00065) (0.09944015444 0.01285483607 0.00065)),2(7846 8623)
7070,(0.1007400257 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1007400257 0.01015325682 0.00065) (0.1007400257 0.01155827869 0.00065) (0.1007400257 0.01285483606 0.00065)),2(7847 8624)
7071,(0.1020398971 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1020398971 0.01015325682 0.00065) (0.1020398971 0.01155827869 0.00065) (0.1020398971 0.01285483607 0.00065)),2(7848 8625)
7072,(0.1033397683 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1033397683 0.01015325682 0.00065) (0.1033397683 0.01155827869 0.00065) (0.1033397683 0.01285483606 0.00065)),2(7849 8626)
7073,(0.1046396396 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1046396396 0.01015325682 0.00065) (0.1046396396 0.01155827869 0.00065) (0.1046396396 0.01285483607 0.00065)),2(7850 8627)
7074,(0.1059395109 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1059395109 0.01015325682 0.00065) (0.1059395109 0.01155827869 0.00065) (0.1059395109 0.01285483606 0.00065)),2(7851 8628)
7075,(0.1072393823 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1072393823 0.01015325682 0.00065) (0.1072393823 0.01155827869 0.00065) (0.1072393823 0.01285483606 0.00065)),2(7852 8629)
7076,(0.1085392536 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1085392536 0.01015325682 0.00065) (0.1085392536 0.01155827869 0.00065) (0.1085392536 0.01285483607 0.00065)),2(7853 8630)
7077,(0.1098391248 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1098391248 0.01015325682 0.00065) (0.1098391248 0.01155827869 0.00065) (0.1098391248 0.01285483606 0.00065)),2(7854 8631)
7078,(0.1111389962 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1111389962 0.01015325682 0.00065) (0.1111389962 0.01155827869 0.00065) (0.1111389962 0.01285483606 0.00065)),2(7855 8632)
7079,(0.1124388674 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1124388674 0.01015325682 0.00065) (0.1124388674 0.01155827869 0.00065) (0.1124388674 0.01285483606 0.00065)),2(7856 8633)
7080,(0.1137387387 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1137387387 0.01015325682 0.00065) (0.1137387387 0.01155827869 0.00065) (0.1137387387 0.01285483606 0.00065)),2(7857 8634)
7081,(0.1150386101 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1150386101 0.01015325682 0.00065) (0.1150386101 0.01155827869 0.00065) (0.1150386101 0.01285483606 0.00065)),2(7858 8635)
7082,(0.1163384813 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1163384813 0.01015325682 0.00065) (0.1163384813 0.01155827869 0.00065) (0.1163384813 0.01285483606 0.00065)),2(7859 8636)
7083,(0.1176383526 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1176383526 0.01015325682 0.00065) (0.1176383526 0.01155827869 0.00065) (0.1176383526 0.01285483606 0.00065)),2(7860 8637)
7084,(0.118938224 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.118938224 0.01015325682 0.00065) (0.118938224 0.01155827869 0.00065) (0.118938224 0.01285483606 0.00065)),2(7861 8638)
7085,(0.1202380952 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1202380952 0.01015325682 0.00065) (0.1202380952 0.01155827869 0.00065) (0.1202380952 0.01285483606 0.00065)),2(7862 8639)
7086,(0.1215379665 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1215379665 0.01015325682 0.00065) (0.1215379665 0.01155827869 0.00065) (0.1215379665 0.01285483606 0.00065)),2(7863 8640)
7087,(0.1228378378 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1228378378 0.01015325682 0.00065) (0.1228378378 0.01155827869 0.00065) (0.1228378378 0.01285483606 0.00065)),2(7864 8641)
7088,(0.1241377092 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1241377092 0.01015325682 0.00065) (0.1241377092 0.01155827869 0.00065) (0.1241377092 0.01285483606 0.00065)),2(7865 8642)
7089,(0.1254375805 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1254375805 0.01015325682 0.00065) (0.1254375805 0.01155827869 0.00065) (0.1254375805 0.01285483607 0.00065)),2(7866 8643)
7090,(0.1267374517 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1267374517 0.01015325682 0.00065) (0.1267374517 0.01155827869 0.00065) (0.1267374517 0.01285483606 0.00065)),2(7867 8644)
7091,(0.1280373231 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1280373231 0.01015325682 0.00065) (0.1280373231 0.01155827869 0.00065) (0.1280373231 0.01285483606 0.00065)),2(7868 8645)
7092,(0.1293371943 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1293371943 0.01015325682 0.00065) (0.1293371943 0.01155827869 0.00065) (0.1293371943 0.01285483606 0.00065)),2(7869 8646)
7093,(0.1306370656 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1306370656 0.01015325682 0.00065) (0.1306370656 0.01155827869 0.00065) (0.1306370656 0.01285483606 0.00065)),2(7870 8647)
7094,(0.1319369369 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1319369369 0.01015325682 0.00065) (0.1319369369 0.01155827869 0.00065) (0.1319369369 0.01285483606 0.00065)),2(7871 8648)
7095,(0.1332368082 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1332368082 0.01015325682 0.00065) (0.1332368082 0.01155827869 0.00065) (0.1332368082 0.01285483606 0.00065)),2(7872 8649)
7096,(0.1345366796 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1345366796 0.01015325682 0.00065) (0.1345366796 0.01155827869 0.00065) (0.1345366796 0.01285483606 0.00065)),2(7873 8650)
7097,(0.1358365509 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1358365509 0.01015325682 0.00065) (0.1358365509 0.01155827869 0.00065) (0.1358365509 0.01285483606 0.00065)),2(7874 8651)
7098,(0.1371364221 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1371364221 0.01015325682 0.00065) (0.1371364221 0.01155827869 0.00065) (0.1371364221 0.01285483606 0.00065)),2(7875 8652)
7099,(0.1384362934 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1384362934 0.01015325682 0.00065) (0.1384362934 0.01155827869 0.00065) (0.1384362934 0.01285483606 0.00065)),2(7876 8653)
7100,(0.1397361647 0.0101571019 0.00065),(0 1 0),0.4986010377,3.845078744e-06,2,3((0.1397361647 0.01015325682 0.00065) (0.1397361647 0.01155827869 0.00065) (0.1397361647 0.01285483606 0.00065)),2(7877 8654)
