cellI,x,y,z,S,epsilon,k,nut
56,0.07344272844,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
57,0.07474259974,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
58,0.07604247104,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
59,0.07734234234,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
60,0.07864221364,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
61,0.07994208494,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
62,0.08124195624,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
63,0.08254182754,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
64,0.08384169884,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
65,0.08514157014,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
66,0.08644144144,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
67,0.08774131274,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
68,0.08904118404,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
69,0.09034105534,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
70,0.09164092664,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
71,0.09294079794,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
72,0.09424066924,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
73,0.09554054054,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
74,0.09684041184,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
75,0.09814028314,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
76,0.09944015444,0,0.00065,1.689832703e-06,28.13325173,1e-15,3.199061412e-33
77,0.1007400258,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
78,0.102039897,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
79,0.1033397683,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
80,0.1046396396,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
81,0.1059395109,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
82,0.1072393822,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
83,0.1085392535,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
84,0.1098391248,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
85,0.1111389961,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
86,0.1124388675,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
87,0.1137387387,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
88,0.11503861,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
89,0.1163384813,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
90,0.1176383526,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
91,0.1189382239,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
92,0.1202380952,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
93,0.1215379665,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
94,0.1228378378,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
95,0.1241377092,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
96,0.1254375805,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
97,0.1267374518,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
98,0.1280373231,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
99,0.1293371943,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
100,0.1306370656,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
101,0.1319369369,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
102,0.1332368083,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
103,0.1345366796,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
104,0.1358365508,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
105,0.1371364222,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
106,0.1384362934,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
107,0.1397361648,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
108,0.141036036,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
109,0.1423359074,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
110,0.1436357786,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
111,0.1449356499,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
112,0.1462355213,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
113,0.1475353925,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
114,0.1488352638,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
115,0.1501351352,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
116,0.1514350065,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
117,0.1527348777,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
118,0.154034749,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
119,0.1553346203,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
120,0.1566344916,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
121,0.157934363,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
122,0.1592342342,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
123,0.1605341055,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
124,0.1618339768,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
125,0.1631338481,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
126,0.1644337195,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
127,0.1657335907,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
128,0.167033462,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
129,0.1683333333,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
130,0.1696332046,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
131,0.1709330759,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
132,0.1722329473,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
133,0.1735328186,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
134,0.1748326899,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
135,0.1761325612,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
136,0.1774324324,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
137,0.1787323037,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
138,0.180032175,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
139,0.1813320463,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
140,0.1826319176,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
141,0.1839317889,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
142,0.1852316602,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
143,0.1865315315,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
144,0.1878314028,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
145,0.1891312741,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
146,0.1904311454,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
147,0.1917310168,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
148,0.193030888,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
149,0.1943307593,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
150,0.1956306306,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
151,0.1969305019,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
152,0.1982303732,0,0.00065,1.68983269e-06,28.13325173,1e-15,3.199061412e-33
